mdb_id,gnd,qid,full_name,multi_role
11005140,1044915781,Q1624565,Holger Mann,False
11005139,,Q108705721,Erik von Malottki,False
11005138,1281439177,Q108757079,Klaus Mack,False
11005137,173942253,Q1569979,Tanja Machalet,False
11005136,,Q108756068,Kristine Lütke,False
11005135,,Q108708650,Bettina Lugk,False
11005134,1256387398,Q42428977,Max Lucks,False
11005133,,Q108734308,Denise Loop,False
11005132,103493628X,Q75077,Helge Limburg,False
11005131,,Q107285317,Esra Limbacher,False
11005130,,Q108757020,Anja Liebert,False
11005129,128676078,Q108757004,Thorsten Lieb,False
11005128,,Q108756989,Luiza Licina-Bode,False
11005127,,Q108731862,Christian Leye,False
11005126,1023260530,Q108705839,Barbara Lenk,False
11005125,1097401073,Q1717414,Jürgen Lenders,False
11005124,,Q108756973,Kevin Leiser,False
11005123,,Q108756952,Ina Latendorf,False
11005122,1205886605,Q106044682,Andreas Larem,False
11005121,1235324354,Q42841188,Ricarda Lang,False
11005120,,Q108705703,Sarah Lahrkamp,False
11005119,1150804785,Q43567875,Kevin Kühnert,False
11005118,1180920538,Q62079592,Tilman Kuban,False
11005117,1205308725,Q19362205,Michael Kruse,False
11005116,,Q108756936,Martin Kröber,False
11005115,1245885332,Q42586423,Dunja Kreiser,False
11005114,,Q64559291,Philip Krämer,False
11005113,,Q108741706,Laura Kraft,False
11005112,,Q18222569,Simona Koß,False
11005111,,Q108713708,Chantal Kopf,False
11005110,,Q108756922,Anne König,False
11005109,1242168974,Q108737896,Tim Klüssendorf,False
11005108,1161414592,Q108714556,Annika Klose,False
11005107,142723231,Q108714733,Kristian Klinck,False
11005106,1153415186,Q108711880,Ottilie Klein,False
11005105,,Q1603762,Helmut Kleebank,False
11005104,,Q76708611,Misbah Khan,False
11005103,,Q108756904,Franziska Kersten,False
11005102,1044442379,Q15432507,Michael Kellner,False
11005101,1268731498,Q108756886,Rainer Johannes Keller,False
11005100,143484753,Q73592404,Michael Kaufmann,False
11005099,,Q108743598,Malte Kaufmann,False
11005098,,Q108705712,Anna Kassautzki,False
11005097,,Q108756858,Carlos Kasper,False
11005096,,Q108711876,Macit Karaahmetoğlu,False
11005095,133894355,Q533809,Lamya Kaddor,False
11005094,,Q108756812,Ann-Veruschka Jurisch,False
11005093,,Q108741931,Anne Janssen,False
11005092,,Q108756781,Steffen Janich,False
11005091,,Q108756724,Gerrit Huy,False
11005090,,Q108756685,Markus Hümpfer,False
11005089,1234940329,Q108742673,Verena Hubertz,False
11005088,1242168915,Q108743322,Jasmina Hostert,False
11005087,,Q108713725,Franziska Hoppermann,False
11005086,,Q108707615,Bruno Hönel,False
11005085,,Q108756657,Susanne Hierl,False
11005084,,Q108756628,Nadine Heselhaus,False
11005083,,Q108756599,Bernhard Herrmann,False
11005082,1060668483,Q2369250,Susanne Hennig-Wellsow,False
11005081,,Q108756352,Anke Hennig,False
11005080,,Q1736494,Kathrin Henneberger,False
11005079,1242168761,Q108714131,Matthias Helferich,False
11005078,,Q1800570,Linda Heitmann,False
11005077,1034897756,Q1451942,Frauke Heiligenstadt,False
11005076,1276237006,Q108756331,Ulrike Harzer,False
11005075,,Q108756275,Philipp Hartewig,False
11005074,123141354,Q109943,Robert Habeck,False
11005073,1071553771,Q54821874,Ates Gürpinar,False
11005072,1160606765,Q2272008,Serap Güler,False
11005071,,Q108733887,Sabine Grützmacher,False
11005070,1064028012,Q108756255,Armin Grau,False
11005069,172843111,Q85551,Ingeborg Gräßle,False
11005068,1103256041,Q27031512,Fabian Gramling,False
11005067,1049455045,Q1080069,Christian Görke,False
11005066,1242169075,Q108738181,Hannes Gnauck,False
11005065,,Q108737824,Jan-Niclas Gesenhues,False
11005064,,Q28166378,Knut Gerschau,False
11005063,13943013X,Q30579524,Jonas Geissler,False
11005062,1242820612,Q108756202,Manuel Gava,False
