period,protocol_number,last_name,first_name,group,party,function,function_group,politician_id,speech_name_data,generated_id,GND,QID
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Funcke,Liselotte,FDP,FDP,Abgeordnete:r,Abgeordnete:r,11000620,Frau Funcke (FDP) :,,118832522,Q1485298
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Stecker,Josef,CDU/CSU,CDU,Abgeordnete:r,Abgeordnete:r,11002225,Dr. Stecker (CDU/CSU) :,,1035154161,Q1432991
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Stecker,Josef,CDU/CSU,CDU,Abgeordnete:r,Abgeordnete:r,11002225,Dr. Stecker (CDU/CSU) :,,1035154161,Q1432991
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Moersch,Karl,FDP,FDP,Abgeordnete:r,Abgeordnete:r,11001526,Moersch (FDP) :,,120544504,Q1732393
5,101,Stecker,Josef,CDU/CSU,CDU,Abgeordnete:r,Abgeordnete:r,11002225,Dr. Stecker (CDU/CSU) :,,1035154161,Q1432991
5,101,Funcke,Liselotte,FDP,FDP,Abgeordnete:r,Abgeordnete:r,11000620,Frau Funcke (FDP) :,,118832522,Q1485298
5,101,Stecker,Josef,CDU/CSU,CDU,Abgeordnete:r,Abgeordnete:r,11002225,Dr. Stecker (CDU/CSU) :,,1035154161,Q1432991
5,101,Unertl,Franz Xaver,CDU/CSU,CSU,Abgeordnete:r,Abgeordnete:r,11002355,Unertl (CDU/CSU) :,,120912597,Q1449743
5,101,Stecker,Josef,CDU/CSU,CDU,Abgeordnete:r,Abgeordnete:r,11002225,Dr. Stecker (CDU/CSU) :,,1035154161,Q1432991
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Schwabe,Wolfgang,SPD,SPD,Abgeordnete:r,Abgeordnete:r,11002119,Schwabe (SPD) :,,129586595,Q2591337
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Unertl,Franz Xaver,CDU/CSU,CSU,Abgeordnete:r,Abgeordnete:r,11002355,Unertl (CDU/CSU) :,,120912597,Q1449743
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Spitzmüller,Kurt,FDP,FDP,Abgeordnete:r,Abgeordnete:r,11002202,Spitzmüller (FDP) :,,1012799506,Q1408590
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Stecker,Josef,CDU/CSU,CDU,Abgeordnete:r,Abgeordnete:r,11002225,Dr. Stecker (CDU/CSU) :,,1035154161,Q1432991
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Seuffert,Walter,SPD,SPD,Abgeordnete:r,Abgeordnete:r,11002165,Seuffert (SPD) :,,117471046,Q2546303
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Funcke,Liselotte,FDP,FDP,Abgeordnete:r,Abgeordnete:r,11000620,Frau Funcke (FDP) :,,118832522,Q1485298
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Krammig,Karl,CDU/CSU,CDU,Abgeordnete:r,Abgeordnete:r,11001195,Krammig (CDU/CSU) :,,1025936892,Q1234608
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Funcke,Liselotte,FDP,FDP,Abgeordnete:r,Abgeordnete:r,11000620,Frau Funcke (FDP) :,,118832522,Q1485298
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Mauk,Adolf,FDP,FDP,Abgeordnete:r,Abgeordnete:r,11001444,Mauk (FDP) :,,1214913520,Q363351
5,101,Probst,Maria,,CSU,Vizepräsident,Sitzungsvorstand,11001753,Vizepräsident Frau Dr. Probst:,,116291559,Q547966
5,101,Krammig,Karl,CDU/CSU,CDU,Abgeordnete:r,Abgeordnete:r,11001195,Krammig (CDU/CSU) :,,1025936892,Q1234608
5,101,Mommer,Karl,,SPD,Vizepräsident,Sitzungsvorstand,11001529,Vizepräsident Dr. Mommer:,,12665736X,Q1560014
5,101,Moersch,Karl,FDP,FDP,Abgeordnete:r,Abgeordnete:r,11001526,Moersch (FDP) :,,120544504,Q1732393
5,101,Mommer,Karl,,SPD,Vizepräsident,Sitzungsvorstand,11001529,Vizepräsident Dr. Mommer:,,12665736X,Q1560014
5,101,Schultz,Fritz-Rudolf,FDP,FDP,Abgeordnete:r,Abgeordnete:r,11002103,Schultz (Gau-Bischofsheim) (FDP) :,,129442275,Q122071
5,101,Mommer,Karl,,SPD,Vizepräsident,Sitzungsvorstand,11001529,Vizepräsident Dr. Mommer:,,12665736X,Q1560014
5,101,Gibbert,Paul,CDU/CSU,CDU,Abgeordnete:r,Abgeordnete:r,11000676,Gibbert (CDU/CSU) :,,130331104,Q2059783
